Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
404,1661422117770,8436.0,-300.0,448.0
405,1661422117773,8152.0,-196.0,532.0
406,1661422117776,8800.0,16.0,592.0
407,1661422117778,8516.0,4.0,580.0
408,1661422117779,8664.0,448.0,652.0
409,1661422117784,8608.0,-92.0,496.0
410,1661422117784,8608.0,180.0,492.0
411,1661422117786,8300.0,-140.0,428.0
412,1661422117789,8404.0,-44.0,496.0
413,1661422117792,8428.0,-36.0,552.0
414,1661422117793,8624.0,-164.0,448.0
415,1661422117795,8580.0,192.0,592.0
416,1661422117797,8404.0,-80.0,528.0
417,1661422117800,8672.0,-220.0,608.0
418,1661422117802,8312.0,108.0,520.0
419,1661422117804,8580.0,112.0,644.0
420,1661422117806,8636.0,-204.0,612.0
421,1661422117808,8280.0,-36.0,532.0
422,1661422117811,8600.0,152.0,752.0
423,1661422117813,8504.0,-60.0,708.0
424,1661422117815,8388.0,340.0,612.0
425,1661422117817,8288.0,-288.0,508.0
426,1661422117819,8680.0,-132.0,408.0
427,1661422117822,8608.0,72.0,712.0
428,1661422117824,8512.0,-128.0,364.0
429,1661422117826,8204.0,0.0,496.0
430,1661422117828,8228.0,24.0,496.0
431,1661422117832,8816.0,-252.0,416.0
432,1661422117832,8420.0,80.0,600.0
433,1661422117835,8396.0,136.0,464.0
434,1661422117837,8724.0,-256.0,712.0
435,1661422117839,8460.0,68.0,484.0
436,1661422117841,8344.0,-116.0,552.0
437,1661422117844,8444.0,-336.0,404.0
438,1661422117846,8436.0,44.0,528.0
439,1661422117847,8352.0,24.0,580.0
440,1661422117850,8576.0,-132.0,384.0
441,1661422117853,8760.0,320.0,692.0
442,1661422117854,8416.0,-116.0,372.0
443,1661422117857,8480.0,-88.0,560.0
444,1661422117859,8368.0,24.0,272.0
445,1661422117861,8468.0,-96.0,612.0
446,1661422117863,8776.0,-196.0,652.0
447,1661422117866,8504.0,344.0,684.0
448,1661422117869,8296.0,-180.0,500.0
449,1661422117871,8572.0,40.0,428.0
450,1661422117872,8584.0,-108.0,592.0
451,1661422117875,8572.0,-68.0,496.0
452,1661422117877,8368.0,120.0,752.0
453,1661422117877,8660.0,-96.0,740.0
454,1661422117880,8372.0,-24.0,356.0
455,1661422117885,8468.0,92.0,544.0
456,1661422117885,8476.0,-132.0,548.0
457,1661422117889,8528.0,88.0,520.0
458,1661422117889,8412.0,96.0,476.0
459,1661422117892,8560.0,-104.0,500.0
460,1661422117894,8432.0,-148.0,492.0
461,1661422117895,8512.0,24.0,432.0
462,1661422117898,8528.0,48.0,544.0
463,1661422117901,8524.0,120.0,488.0
464,1661422117903,8328.0,0.0,540.0
465,1661422117905,8684.0,-8.0,480.0
466,1661422117907,8208.0,-140.0,384.0
467,1661422117911,8724.0,156.0,468.0
468,1661422117911,8372.0,-144.0,308.0
469,1661422117914,8236.0,-12.0,360.0
470,1661422117916,8712.0,292.0,644.0
471,1661422117919,8260.0,-312.0,384.0
472,1661422117920,8440.0,188.0,548.0
473,1661422117923,8432.0,-364.0,396.0
474,1661422117925,8464.0,132.0,444.0
475,1661422117927,8364.0,168.0,548.0
476,1661422117929,8484.0,-328.0,456.0
477,1661422117932,8376.0,-92.0,472.0
478,1661422117933,8704.0,-12.0,524.0
479,1661422117936,8536.0,-156.0,724.0
480,1661422117938,8160.0,272.0,384.0
481,1661422117939,8652.0,-152.0,392.0
482,1661422117943,8356.0,-292.0,592.0
483,1661422117945,8444.0,228.0,496.0
484,1661422117947,8516.0,-252.0,452.0
485,1661422117948,8440.0,-140.0,508.0
486,1661422117951,8588.0,80.0,504.0
487,1661422117953,8632.0,-220.0,512.0
488,1661422117956,8552.0,532.0,624.0
489,1661422117959,8360.0,-200.0,676.0
490,1661422117960,8580.0,-60.0,620.0
491,1661422117961,8452.0,216.0,576.0
492,1661422117964,8612.0,-284.0,484.0
493,1661422117967,8632.0,180.0,608.0
494,1661422117968,8416.0,200.0,468.0
495,1661422117971,8556.0,-84.0,608.0
496,1661422117972,8740.0,8.0,468.0
497,1661422117975,8244.0,-68.0,296.0
498,1661422117977,8460.0,-40.0,724.0
499,1661422117980,8536.0,24.0,596.0
500,1661422117982,8424.0,96.0,352.0
501,1661422117984,8468.0,-164.0,440.0
502,1661422117986,8548.0,144.0,648.0
503,1661422117988,8384.0,-88.0,640.0
504,1661422117991,8448.0,-212.0,536.0
505,1661422117993,8312.0,104.0,464.0
506,1661422117995,8688.0,-20.0,488.0
507,1661422117997,8352.0,-8.0,532.0
