Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
540,1661422685786,8596.0,128.0,448.0
541,1661422685788,8144.0,-340.0,504.0
542,1661422685790,8760.0,228.0,548.0
543,1661422685793,8264.0,-324.0,396.0
544,1661422685795,8500.0,428.0,584.0
545,1661422685797,8152.0,-40.0,532.0
546,1661422685799,8212.0,152.0,344.0
547,1661422685803,8696.0,56.0,704.0
548,1661422685804,8484.0,-180.0,148.0
549,1661422685805,8680.0,624.0,732.0
550,1661422685808,8460.0,-384.0,528.0
551,1661422685810,8604.0,84.0,324.0
552,1661422685812,8168.0,-188.0,416.0
553,1661422685814,8652.0,-404.0,416.0
554,1661422685817,8304.0,-12.0,580.0
555,1661422685819,8632.0,144.0,672.0
556,1661422685821,8444.0,-188.0,444.0
557,1661422685822,8328.0,144.0,664.0
558,1661422685826,8400.0,4.0,468.0
559,1661422685828,8332.0,120.0,500.0
560,1661422685830,8424.0,-4.0,608.0
561,1661422685832,8920.0,-132.0,476.0
562,1661422685835,8528.0,44.0,352.0
563,1661422685837,8628.0,0.0,604.0
564,1661422685838,8768.0,-312.0,428.0
565,1661422685841,8276.0,-32.0,584.0
566,1661422685843,8452.0,40.0,636.0
567,1661422685845,8488.0,308.0,660.0
568,1661422685846,8340.0,-44.0,628.0
569,1661422685849,8588.0,-316.0,412.0
570,1661422685852,8288.0,108.0,508.0
571,1661422685854,8544.0,-240.0,404.0
572,1661422685856,8556.0,-124.0,560.0
573,1661422685859,8472.0,4.0,420.0
574,1661422685861,8680.0,280.0,544.0
575,1661422685862,8416.0,-456.0,548.0
576,1661422685865,8688.0,440.0,864.0
577,1661422685867,8244.0,-228.0,588.0
578,1661422685869,8536.0,-196.0,404.0
579,1661422685873,8296.0,220.0,764.0
580,1661422685874,8460.0,-424.0,272.0
581,1661422685876,8524.0,696.0,612.0
582,1661422685878,8392.0,-256.0,468.0
583,1661422685880,8964.0,-72.0,508.0
584,1661422685883,8284.0,-84.0,396.0
585,1661422685884,8480.0,168.0,424.0
586,1661422685886,8184.0,-404.0,520.0
587,1661422685888,8624.0,188.0,712.0
588,1661422685892,8472.0,-296.0,600.0
589,1661422685893,8356.0,260.0,700.0
590,1661422685895,8948.0,380.0,672.0
591,1661422685897,8420.0,-360.0,120.0
592,1661422685902,8616.0,220.0,676.0
593,1661422685902,8568.0,-268.0,448.0
594,1661422685905,8500.0,48.0,272.0
595,1661422685907,8308.0,-16.0,488.0
596,1661422685909,8444.0,-144.0,336.0
597,1661422685912,8452.0,-280.0,540.0
598,1661422685912,8636.0,8.0,568.0
599,1661422685917,8468.0,244.0,572.0
600,1661422685918,8216.0,-12.0,548.0
601,1661422685920,8812.0,-40.0,700.0
602,1661422685922,8348.0,176.0,384.0
603,1661422685925,8316.0,-60.0,432.0
604,1661422685928,8912.0,76.0,508.0
605,1661422685928,8152.0,-144.0,248.0
606,1661422685930,8428.0,92.0,692.0
607,1661422685932,8884.0,-384.0,516.0
608,1661422685937,8424.0,172.0,356.0
609,1661422685937,8528.0,-48.0,772.0
610,1661422685939,8552.0,-120.0,392.0
611,1661422685942,8496.0,-20.0,708.0
612,1661422685944,8588.0,-396.0,460.0
